"entity_id","type","value"
"265","nes_boolean","FALSE"
"265","nes_a_boolean","FALSE"
"267","nes_boolean","FALSE"
"267","nes_a_boolean","FALSE"
"268","nes_boolean","FALSE"
"268","nes_a_boolean","FALSE"
"269","nes_boolean","TRUE"
"269","nes_a_boolean","FALSE"
"271","nes_boolean","FALSE"
"271","nes_a_boolean","FALSE"
"273","nes_boolean","FALSE"
"273","nes_a_boolean","TRUE"
"274","nes_boolean","FALSE"
"274","nes_a_boolean","FALSE"
"275","nes_boolean","FALSE"
"275","nes_a_boolean","FALSE"
"276","nes_boolean","FALSE"
"276","nes_a_boolean","FALSE"
"279","nes_boolean","FALSE"
"279","nes_a_boolean","FALSE"
"281","nes_boolean","FALSE"
"281","nes_a_boolean","FALSE"
"283","nes_boolean","FALSE"
"283","nes_a_boolean","FALSE"
"285","nes_boolean","FALSE"
"285","nes_a_boolean","FALSE"
"286","nes_boolean","FALSE"
"286","nes_a_boolean","FALSE"
"287","nes_boolean","FALSE"
"287","nes_a_boolean","TRUE"
"289","nes_boolean","FALSE"
"289","nes_a_boolean","FALSE"
"290","nes_boolean","FALSE"
"290","nes_a_boolean","FALSE"
"291","nes_boolean","FALSE"
"291","nes_a_boolean","TRUE"
"292","nes_boolean","FALSE"
"292","nes_a_boolean","FALSE"
"295","nes_boolean","FALSE"
"295","nes_a_boolean","TRUE"
"297","nes_boolean","FALSE"
"297","nes_a_boolean","FALSE"
"298","nes_boolean","TRUE"
"298","nes_a_boolean","FALSE"
"299","nes_boolean","FALSE"
"299","nes_a_boolean","FALSE"
"301","nes_boolean","FALSE"
"301","nes_a_boolean","FALSE"
"308","nes_boolean","FALSE"
"308","nes_a_boolean","FALSE"
"310","nes_boolean","FALSE"
"310","nes_a_boolean","TRUE"
"311","nes_boolean","FALSE"
"311","nes_a_boolean","FALSE"
"320","nes_boolean","FALSE"
"320","nes_a_boolean","FALSE"
"321","nes_boolean","FALSE"
"321","nes_a_boolean","FALSE"
"322","nes_boolean","FALSE"
"322","nes_a_boolean","FALSE"
"323","nes_boolean","FALSE"
"323","nes_a_boolean","FALSE"
"324","nes_boolean","FALSE"
"324","nes_a_boolean","FALSE"
"337","nes_boolean","FALSE"
"337","nes_a_boolean","FALSE"
"338","nes_boolean","FALSE"
"338","nes_a_boolean","FALSE"
"340","nes_boolean","FALSE"
"340","nes_a_boolean","TRUE"
"342","nes_boolean","FALSE"
"342","nes_a_boolean","FALSE"
"344","nes_boolean","FALSE"
"344","nes_a_boolean","FALSE"
"345","nes_boolean","FALSE"
"345","nes_a_boolean","FALSE"
"348","nes_boolean","FALSE"
"348","nes_a_boolean","FALSE"
"350","nes_boolean","FALSE"
"350","nes_a_boolean","FALSE"
"351","nes_boolean","FALSE"
"351","nes_a_boolean","FALSE"
"352","nes_boolean","FALSE"
"352","nes_a_boolean","FALSE"
"353","nes_boolean","FALSE"
"353","nes_a_boolean","FALSE"
"354","nes_boolean","FALSE"
"354","nes_a_boolean","FALSE"
"355","nes_boolean","FALSE"
"355","nes_a_boolean","FALSE"
"357","nes_boolean","FALSE"
"357","nes_a_boolean","FALSE"
"358","nes_boolean","TRUE"
"358","nes_a_boolean","FALSE"
"359","nes_boolean","FALSE"
"359","nes_a_boolean","FALSE"
"360","nes_boolean","FALSE"
"360","nes_a_boolean","FALSE"
"364","nes_boolean","FALSE"
"364","nes_a_boolean","FALSE"
"369","nes_boolean","FALSE"
"369","nes_a_boolean","FALSE"
"372","nes_boolean","FALSE"
"372","nes_a_boolean","FALSE"
"373","nes_boolean","FALSE"
"373","nes_a_boolean","TRUE"
"374","nes_boolean","FALSE"
"374","nes_a_boolean","FALSE"
"380","nes_boolean","FALSE"
"380","nes_a_boolean","FALSE"
"382","nes_boolean","FALSE"
"382","nes_a_boolean","TRUE"
"383","nes_boolean","FALSE"
"383","nes_a_boolean","FALSE"
"389","nes_boolean","FALSE"
"389","nes_a_boolean","FALSE"
"390","nes_boolean","FALSE"
"390","nes_a_boolean","FALSE"
"394","nes_boolean","FALSE"
"394","nes_a_boolean","FALSE"
"395","nes_boolean","FALSE"
"395","nes_a_boolean","FALSE"
"396","nes_boolean","FALSE"
"396","nes_a_boolean","FALSE"
"402","nes_boolean","FALSE"
"402","nes_a_boolean","FALSE"
"456","nes_boolean","FALSE"
"456","nes_a_boolean","FALSE"
"458","nes_boolean","FALSE"
"458","nes_a_boolean","FALSE"
"460","nes_boolean","FALSE"
"460","nes_a_boolean","FALSE"
"463","nes_boolean","FALSE"
"463","nes_a_boolean","FALSE"
"466","nes_boolean","FALSE"
"466","nes_a_boolean","FALSE"
"467","nes_boolean","FALSE"
"467","nes_a_boolean","FALSE"
"468","nes_boolean","FALSE"
"468","nes_a_boolean","FALSE"
"470","nes_boolean","FALSE"
"470","nes_a_boolean","FALSE"
"473","nes_boolean","TRUE"
"473","nes_a_boolean","FALSE"
"475","nes_boolean","TRUE"
"475","nes_a_boolean","FALSE"
"476","nes_boolean","TRUE"
"476","nes_a_boolean","FALSE"
"477","nes_boolean","TRUE"
"477","nes_a_boolean","FALSE"
"478","nes_boolean","FALSE"
"478","nes_a_boolean","FALSE"
"479","nes_boolean","TRUE"
"479","nes_a_boolean","FALSE"
"480","nes_boolean","TRUE"
"480","nes_a_boolean","FALSE"
"483","nes_boolean","FALSE"
"483","nes_a_boolean","FALSE"
"484","nes_boolean","FALSE"
"484","nes_a_boolean","FALSE"
"485","nes_boolean","FALSE"
"485","nes_a_boolean","FALSE"
"486","nes_boolean","FALSE"
"486","nes_a_boolean","FALSE"
